ts,open,high,low,close,kvwapd1,kvwaph4,kvwaph1,kvwapm30,kvwapm15,kvwapm5,kvwapm1,fair_price,breakout_price,breakout_coc,breakout_rev
2020-03-27,6733.76,6840,6230,6353.64,6726.767223,6724.648818,6707.897637,6694.610562,6685.947011,6679.469165,6675.453612,,,,
2020-03-28,6353.64,6354.74,6004,6230.95,6219.966126,6219.88306,6218.943809,6217.08979,6214.55,6212.000551,6210.747017,,,,
2020-03-29,6231.81,6260,5857.6,5876.27,6165.086452,6162.855835,6145.078474,6129.075695,6115.494376,6103.530209,6098.304099,,,,
2020-03-30,5876.27,6606.15,5850,6391.08,6097.124514,6103.015004,6150.087569,6189.915967,6219.580349,6243.146599,6252.431665,,,,
2020-03-31,6389.52,6516.63,6320,6407.1,6439.306733,6439.302222,6438.948544,6438.473122,6438.141113,6437.761043,6437.642287,,,,
2020-04-01,6407.1,6693,6140,6641.51,6301.232911,6299.997357,6290.778609,6285.15674,6284.548056,6288.798126,6292.203747,,,,
2020-04-02,6641.22,7290,6542.73,6791.63,6640.058956,6643.183677,6667.167091,6686.068668,6698.262362,6705.572359,6707.719722,,6960.71,TRUE,FALSE
2020-04-03,6791.65,7049.11,6600,6729.8,6810.064375,6809.98243,6809.588957,6808.381179,6806.330974,6804.753614,6804.061318,,,,
2020-04-04,6729.8,7020,6629.99,6851.1,6738.68702,6739.29702,6744.192437,6748.601391,6752.426319,6756.272642,6758.135837,,,,
2020-04-05,6851.4,6893.44,6668.02,6768.9,6808.176727,6807.463745,6801.568611,6796.207015,6791.903538,6788.475134,6787.171668,,,,
2020-04-06,6768.9,7370,6760,7325.73,6945.755417,6950.638685,6989.387227,7021.851318,7045.515147,7063.696938,7071.707432,,,,
2020-04-07,7325.73,7457,7070.43,7192.9,7332.718393,7332.416731,7329.380423,7324.264097,7316.954584,7309.069305,7306.177222,,,,
2020-04-08,7192.9,7417.83,7145.14,7357.66,7265.646737,7266.231175,7271.548262,7277.830285,7284.504443,7290.849373,7293.694726,,,,
2020-04-09,7357.15,7365.69,7105.98,7278.65,7305.284992,7304.821658,7301.085548,7297.749449,7295.00875,7292.859511,7292.001739,,,,
2020-04-10,7278.83,7290,6741,6857.82,7090.032084,7085.042289,7045.21861,7012.559518,6990.217503,6973.898749,6966.884653,,,,
2020-04-11,6858,6944.28,6757.29,6874.18,6880.844803,6879.581807,6870.07945,6862.955828,6858.724165,6857.108263,6857.113822,,,,
2020-04-12,6874.17,7173.98,6775.66,6900.52,6861.32416,6864.397843,6887.948678,6906.886255,6919.745973,6927.029448,6928.809729,,,,
2020-04-13,6900.19,6900.99,6558,6834,6714.672846,6715.514438,6721.856809,6727.257775,6731.599786,6734.481465,6734.53715,,,,
2020-04-14,6834.01,6975.6,6751,6864.11,6851.853192,6852.476044,6857.176945,6860.980418,6863.60347,6864.984441,6865.24799,,,,
2020-04-15,6864.11,6929,6602.59,6616.89,6840.78111,6838.556388,6821.596876,6808.950693,6801.129445,6795.231182,6792.004305,,,,
2020-04-16,6616.88,7190.92,6465.33,7098.15,6737.269374,6743.810483,6795.533475,6837.057781,6865.355489,6887.265138,6896.636185,,6558,TRUE,FALSE
2020-04-17,7098.15,7140,6981,7022.44,7065.798476,7065.603823,7063.800831,7062.001253,7060.723056,7060.146533,7059.904239,,,,
2020-04-18,7022,7290,7008.11,7242.42,7092.147155,7093.96403,7108.070418,7119.71958,7128.449794,7135.69764,7138.952296,,,,
2020-04-19,7242.49,7258.42,7055,7118.03,7184.532502,7183.273333,7173.325489,7165.634238,7161.151945,7158.66701,7157.401187,,,,
2020-04-20,7118.04,7208.55,6735.95,6825.29,7122.968754,7119.687775,7094.306661,7073.324517,7057.671035,7045.96535,7041.346318,,,,
2020-04-21,6825.28,6940,6759.16,6838,6856.928464,6856.550697,6853.810413,6852.357846,6852.188257,6852.486454,6852.665697,,,,
2020-04-22,6838,7154.9,6812.57,7120.06,6898.972707,6902.495419,6929.933687,6952.098063,6967.451874,6978.421526,6982.808816,,,,
2020-04-23,7120.06,7802.38,7020,7483.35,7150.532153,7156.052146,7198.112782,7232.025001,7256.428469,7274.104794,7280.588263,,7290,TRUE,FALSE
2020-04-24,7483.36,7612.91,7388,7504.11,7512.020129,7512.117645,7512.826795,7513.578679,7514.289446,7514.523612,7514.410277,,,,
2020-04-25,7504.62,7722.33,7433,7534.01,7516.700336,7517.476105,7523.711735,7528.741456,7531.982076,7534.087365,7534.792566,,,,
2020-04-26,7534.01,7709.57,7476.86,7694.17,7565.360004,7566.391878,7574.311939,7580.306738,7584.313054,7587.651878,7589.661529,,,,
2020-04-27,7693.63,7795.6,7623.98,7774,7711.611815,7711.079384,7706.911737,7703.914585,7702.623821,7702.640694,7703.058136,,,,
2020-04-28,7774,7780,7662.49,7735.75,7712.417225,7712.777028,7715.49542,7717.302977,7718.036525,7718.269859,7718.405695,,,,
2020-04-29,7735.76,8988.66,7710,8784.2,7929.291732,7941.120354,8033.359244,8110.038886,8166.658267,8208.988545,8225.744586,,,,
2020-04-30,8784.05,9479.77,8400,8624.76,8950.004376,8946.468196,8920.739169,8904.627504,8898.399808,8896.380831,8895.06394,,,,
2020-05-01,8623.61,9065,8619.84,8830.52,8755.201258,8756.166599,8764.244442,8770.757855,8775.235831,8780.118825,8783.187016,,,,
2020-05-02,8830.52,9020,8755.01,8975.18,8833.522786,8835.078682,8846.962981,8856.112782,8862.195209,8866.963678,8869.43784,,,,
